"Niveaux_des_prix";"Qualite_du_service_client";"Qualite_garantie";"Satisfaction";"Resume";"Plus";"Moins"
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"Sérieusement
De retour de Week end ( le 08/05/15), je decouvre mon scooter vandalise et ayant subi une tentative de vol.
J'appelle mon courtier et lui transmet depots de plainte et les papiers demandé.
Au fil du temps, je decouvre le cote obscur de xenassur, franchise doublé car non inscription du scooter et plein de petites choses. De fil en aiguille, je pensais que les choses allait se decanter. Apres quasiment 2 mois (le 8 / 7/ 15) , refus de prise en charge car les voleurs non pas cassé le neiman!
J'argue de la tentative de vol, des cadenas constatés par la police, de la video surveillance. Ma gestionnaire de dossier n'est jamais disponible, mon courtier désespère, il dise m'envoyer la copie du rapport d'expert mais ne l'ont pas encore recu, l'expert me l'as confirmer. 
Aujourd'hui 10 septembre, soit 4 mois après le début de l'affaire, Xenassur ne repond toujours pas au téléphone, ils sont débordés.
Le plus déprimant, c'est le temps qu'il mette a repondre, au pire je m'en fout, il m'envoie balader et je vais bruler leur bureau (boutade....) ou il rembourse et on s'arrête la. 
Au moins je récupèrerai peut être mon scooter en décembre. Bien connu, c'est le meilleur mois pour rouler en 2 roues.
Plus sérieusement, si je mettais 4 mois à traiter mes clients, je ne pourrais pas leur payer leurs cotisations.";"Aucun,";"Plein, pas de service web, pas d'accueil téléphoniques, pas de sympathie, pas de réactivité."
"Assez bonne";"Assez mauvais";"Assez mauvais";"Mauvais";"Bonjour j'ai un problème après un accident dont je ne suis pas responsable et depuis le dépôt de mon constat après de ma propre assureure, sa fait 2 mois et demi et même pas un courier merci xenassur";"Le prix";"Service n'est pas au rendez vous, il ne faut surtout pas avoir de problème car la on ce rend compte de la qualité de ce xenassur"
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"besoin urgent que l'on me rappelle ,ils m'ont laissé avec mes problèmes et je ne sais pas comment faire. Mon véhicule se retrouve sans assurance alors qu'on m'avait dit pouvoir m'assurer dans l'heure";"pas de plus quand on est bloqué";"bon accueil mais sans effet"
"Bonne";"Très bonne";"Bonne";"Très bonne";"J'ai bien etait accueilli par ma 
nouvelle conseillère 
A T  rapidité efficacité elle m'a 
convaincu je suis 
nouveau client si tout cela ce passe bien de mon côté et de ma nouvelle assurances je pense rester dans cet compagnie";"Rapidité pour répondre au 

téléphone satisfait
Continuez tel que";"Pour l'instant rien à dire étant nouveau client"
"Assez mauvais";"Mauvais";"Assez bonne";"Mauvais";"De grosses difficultés à obtenir le relevé d' information quand vous souhaitez faire des devis pour vous orienter vers une autre compagnie.
De plus leur tarif est plutot excessif , j' ai fait un comparatif avec 3 autres assureur , à contrat égal , Zenith assurance est 3 FOIS plus cher , bien sûr quand vous arrivez tout va bien , c' est au moment ou vous devenez libre de changer d' assureur que tout cela se corse !!!";"rapidité à la souscription";"difficulté à obtenir le relevé d' information 
agent de mauvaise fois"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je suis client de zénith assurance, ils m'ont assuré chez leur partenaire EURODOMMAGES, j'ai eu un sinistre cela fait 4 mois. Ils font traîner la procédure de remboursement alors que je ne suis pas responsable sur le sinistre.";"Pas grand chose";"L'honnêteté 
Le professionnalisme"
"Bonne";"Très bonne";"Bonne";"Bonne";"Une assurance à recommander, je suis nouveau chez eux mais déjà satisfait par leurs services dans l'ensemble. Un bon contacte client et assistance en cas de problème.";"Une bonne assistance et prise en charge";"Quelques prix encore à revoir."
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"bonjour tout le monde je vous conseil ce courtier ils sont efficace et trouve la meilleur solution assurance pour vous je payais très cher mon assurance malgré mon bonus il ont quasiment trouver de bonne garanties équivalentes moins cher efficace et très courtois rapide et sur";"entre de bonne main des le début bien reçu et efficace ils s'occupe de tout";"rien a dire que du bien"
"Bonne";"Bonne";"Très bonne";"Très bonne";"J'ai souscri une assurance auto via leur conseillé après avoir fait une demande sur leur site il sont très pro en terme de conseil j'avais du malus et j'en suis content...
j'ai un conseillé qui gére mon dossier donc a chaque foix j'ai besoins de lui je le contact diréctement y'en a pas mieux";"Devis rapide - du très bon conseil et bonne gestion de mon dossier";"Mon conseil n'est pas diponnible tous le temps mais quand j'ai besoins j'ai toujours quelqu'un au bout du fil"
"Assez bonne";"Assez bonne";"Bonne";"Mauvais";"J'ai souscrit une assurance auto auprès de Zénith, or je m'aperçois qu'ils ne sont qu'un intermédiaire pour Maxance qui me prélève les 2 chèques que j'avais fait au 15 et au 28/10 le 25/10, je considère cela comme un abus de confiance . où se trouve la facilité de paiement quand les 2 chèques sot débités à la même date. Après cela les  personnes au téléphone peuvent être mielleuses, pour elles le tout c'est de conclure des contrats sur le dos des personnes qui ont été  résiliées.";"AUCUN";"Dés que possible je change d'assureur."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"des moins que rien et profiteurs aucun serieux ils m opn mis une fausse declaration alors que cela venait de ma banque qui m avait baisser mon malus en cadeaux de bienvenu ; c etait legal et ayant eu un probleme de paiement me suis retrouve chez zenith et ils m on assassine ne surtout pas aller chez eux";"rien";" pire que tout"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"J' étais résilier par mon ancien assureur pour non paiement et zenith assurances étaient les seules à me proposer un bon contrat à un bon tarif, ils sont pro et j'ai donc décidé par la suite de changer toutes mes assurances (moto, habita, santé) chez eux, j'ai une conseillère agréable (mme Sofia dacosta). Je conseille vivement ce courtier à toute personne en malus.";"Bonne gestion, tres bon tarifs assurance, un bon comparateur assurance";"rien à dire des pro"
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"bonjour je suis assuré chez cet assureur depuis plusieurs années sans aucun litige pour mon véhicule avec garantie vol de marchandise et en début d'année j'ai subit un vol à la roulotte commis sur mon véhicule professionnel utilitaire car je suis artisan climaticien.
La majorité de mes objets à été volé(chalumeau, perceuse Hilti, viseuse Hilti et j'en passe)  et après 9 mois et demi d'attente on me propose un remboursement d'un montant de 45 euros alors que je leur ai fourni toutes les factures du matériel volée qui représentait  au plus de 9000 euros.
Je les trouve vraiment  lamentable et c'est une honte.
Avis à toutes personnes désirant s'assurer chez eux.";"aucun";"tout à revoir"
"Assez bonne";"Mauvais";"Assez mauvais";"Mauvais";"J'ai eu un sinistre voiture non réparable économiquement donc je l'ai cédé à l assurance cela fait 2 mois je n'ai toujours pas reçu l'argent au bout de 2 mois je reçois un chèque alors que j'ai demandé un virment pour cause ma banque en ligne refus les chèques. Le service n'a pas l'air très presser et s'en fou royalement de ma demande .";"Aucun";"Attente téléphonique 
Aucune attention au demande"
"Bonne";"Mauvais";"Mauvais";"Mauvais";"A éviter ABSOLUMENT";"Les prix et encore, étant donné que nous ne parvenons pas à être rembourser AUCUN PLUS";"TOUS : service client inexistant. En cas de problème, impossible d'avoir une personne qui nous renseigne. Refuse tous remboursements en inventant des arguments non plausibles. Injoignable et en plus le numéro est surtaxé. Pas professionnel du tout."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"assurance complètement irresponsable . Nous avons roulé plus de 6 mois sans assurance en eyant eu confirmation d'être assurée.
difficile d'avoir un service par téléphone ,  il faut souvent renouveler son appel.";"je ne vois pas !";"manque de communication. traitement de service client nul  malgré plusieurs relances."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je déconseille fortement cette assureur, pour un rejet de paiement à hauteur de 111 euros par mois, pas de courrier, ni de relance, mais un courrier en AR avec la surprise de 584 euros à régler en une fois, sans échéancier (2 fois sans frais) j'ai donc répondu en courrier AR Depuis plus aucune nouvelles";"Y en a pas";"Manque de communication, personne désagréable, pas cohérent, profite des gens malussés"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Pour un rejet de 20€, ils demandent 80€";"Je les cherches toujours";"Dommage, leur courtier est un ami, mais cela ne va pas m'empêcher de voir ailleurs.De plus je n'ai jamais vu un seul début de contrat. Pour une voiture de plus de 20 ans, ils sont trop cher et attention, comme vous ne voyez pas de contrat, vous avez la surprise d'apprendre que si vous êtes en panne durant la première année, VOUS N'AVEZ PAS LE DROIT D'ÊTRE DEPANNE"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"J'ai malheureusement souscrit par téléphone une assurance auto qui ma mis en relation avec l'assurance du Doubs.cette assurance ma mis en demeure aujourd'hui pour soit disant un impayée.de 314euros.somme correspondant a des frais d ouverture de contrat.. Évidement non divulguer par téléphone lors de cette souscription ni même inscrit sur min contrat.cette même assurance ma radier le 3octobre 2015 par recommander datant du 21octobre.donc j'ai roulais sans assurance pendant prêts de 20 jours..donc aujourd'hui mise en demeure.et pour ma part maison de la justice et du droit.et je vais prendre conseil au prêt d avocats....s'est une question de principe.aucun respect.somme du 314euros...somme farfelue bien sur et non du bien.donc je vous recommande de bien vous renseigner avant.";"Gars sympa au début";"Ai-je était assurer au moins?affaire a suivre"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Autant dire que je vous déconseille fortement cet assureur. Je suis passée par un courtier pour être assurée chez eux car malussée. Cependant, les cotisations sont hors de prix, le service client est injoignable par téléphone, il faut tout faire par courrier. J'ai du consulter un juriste pour pouvoir partir de chez eux après un litige : hausse de mes cotisations de manière exagérée.";"Je n'en vois pas";"Font payer cher pour un service minimal et font ""peur"" aux personnes qui n'ont pas le choix que de s'assurer chez eux."
"Mauvais";"Bonne";"Bonne";"Mauvais";"tres tres decu apres cinq ans chez eux manque total de dialogues.de plus je roule tres peu donc tt benefice";"facilitees de paiement tous les six mois.desole je cherche mais rien je ne trouve acuns plus.";"intolerant.radiations rapide et non justifies.e suis chez eux depuis cinq ans j ai tjr cet impression d etre un inconu."
"Mauvais";"Mauvais";"Assez mauvais";"Mauvais";"Après avoir purgé ma peine à forte indemnité, <U+009B> 1000€/an, et en attente d'être remboursé d'un remorquage, ainsi que d'une pause d'un nouveau pare-brise. L'ancien mis par Carglass ayant de nouveau éclaté après 1 an, j'en étais au 4e, depuis mon arrivée dans la Marne,j'ai décidé de me passer de leurs services. Depuis aout, pour les frais de mon véhicule et depuis le mois de novembre pour ma demande de relevé d'informations, cette compagnie ne m'a toujours pas fourni, la moindre réponse. En fait, si, trop de travail ?! Dans quelques jours, je ne serais plus assuré et je ne peux pas obtenir d'une autre compagnie, une assurance-voiture, faute de ce relevé d'informations, pourtant rendu obligatoire par la loi !!!???";"Je n'en connais pas";"La qualité du service client"
"Assez bonne";"Assez mauvais";"Assez bonne";"Assez mauvais";"Concernant le traitement des successions c'est une Vraie catastrophe: pièces égarées,  non respect du contrat, correspondants fantômes ou incompétents, manque de considération des assurés.";"Un plus pour toutes les opérations qui peuvent être effectuées sans intervention humaine. La majorité heureusement!";"Un grand moins dès que les opérations demandent une intervention humaine. L'administratif n'arrive plus à suivre."
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"Adhésions épargne retraite vieilles de 15 ans. avis basé sur 8 échanges avec service adhérent. Pire que URSSAF, CNAV, etc. Gestion catastrophique de bureaucratie. conseillers ne sont que des boites aux lettres une fois l'adhésion faite.";"Aucun. La fiscalité les fait jouir d'un monopole de fait puisque le transfert sur autre adhésion épargne retraite remet les compteurs à zéro.";"Pas de dialogue mail. Réponses courrier uniquement et dilatoires (référence au code des assurances et pas au ""marché"" des entreprises de service ou à côté de la plaque. N'acceptent aucune critique client."
"Bonne";"Mauvais";"Bonne";"Mauvais";"La bureaucratie D'Afer est totalement inefficace. Le remboursement d'une prime suite a un décès est très long et nécessité de nombreux appels téléphoniques ainsi que des dizaines d'échanges de mails. Malgré mes réclamations je n'ai jamais reçu le cadeau de mon dernier parrainage (il y a quelques années déjà). Dommage, car la gestion financière est bonne";"Bonne gestion du portefeuille";"service client catastrophique"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Très difficile d'obtenir son assurance vie pour ma part je galère depuis 13 mois depuis la mort de ma mère, mes frères aussi.";"Facile à souscrire j'y avais moi même une assurance pour mes enfants .";"Très long à éviter ! Difficile à joindre."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je suis en plein processus de règlement suite au décès de mon conjoint survenu en janvier 2017. j'ai entamé les premières démarches dès janvier, et à ce jour mon dossier n'est toujours pas réglé. Comme les différentes personnes qui se sont exprimées, j'ai connu les pertes de documents, les demandes en double, les justificatifs à n'en plus finir, les reports de semaines en semaines...les communications par lettres postales, alors que je communique par email avec l'agence etc...impossible de joindre le moindre responsable et la personne qui répond au téléphone ne peut rien faire ! bref, je sens une véritable volonté de ralentir au maximum le traitement du dossier pour ne pas payer ce qui nous revient de droit. Je suis extrêmement déçue et ne recommanderai jamais cette institution à un proche. Je vis au Québec et je peux vous dire que la clientèle à une toute autre importance et une toute autre considération.";"le contact avec la conseillère de l'agence Ledru-Rollin.";"absence totale de professionnalisme, le respect de la clientèle, le respect des engagements. le manquement de l'institution envers sa mission première."
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"Le siège d'AFER ou l'administratif borné au plus haut point. Ma mère a 98 ans et souhaite un rachat total de son contrat. AFER refuse le versement au motif que sa carte d'identité est périmée. Elle ne se déplace plus et lui est difficile d'aller faire des photos, 
Son besoin est urgent. Une question a été posée à AFER ""service information adhérents"" 3 mois auparavant demandant les documents à transmettre dans le cadre d'un rachat total. La réponse précisait seulement une demande sur papier libre. Cet organisme exige un document officiel avec photo. Rien des autres pièces officielles ne peut les satisfaire, que ce soit photocopie livret de famille, titre de pension, factures, document d'allocation. Difficile de trouver pire dans l'incompréhension. Par contre une très grande qualité de service du cabinet local AFER.";"rémunération correcte";"Information déplorable et prétextes pour ne ne pas restituer primes versées"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"J'ai les mêmes problèmes: mauvaise communication avec les adhérents dont on se fiche pas mal, demande de remboursement du 6 mars non satisfaite à ce jour sous de faux prétextes, pièces supplémentaires demandées en plusieurs fois alors qu'elles ont été envoyées, etc....";"accueil téléphonique correct mais n'ont aucun pouvoir pour solutionner les problèmes";"aucun contact téléphonique possible avec les gestionnaires
sauf par mails avec des répétitions"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Suite au décès de ma mère je bénéficie d'une assurance vie dont je n'arrive pas a me faire payer.Aprés 4 envois de pièces, dont le traitement est a chaque fois d'1 mois avant que l'on vous redemande d'autres pièces.Le personnel au téléphone est a peine aimable et ne sait rien.";"rien";"tout"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"rapport moyen. 
mais ce qui me semble important, c'est qu'il est très difficile de récupérer son argent.
J'ai demandé un rachat d'une petite somme et on m'a annoncé un delai de 15 jours ouvrables. Cela fait presque un mois. C'est inquiétant.";"rapport un peu au dessus de la moyenne.";"delais longs et difficiles pour obtenir un rachat même minime de son propre argent."
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Contrat avec bon rendement et un choix simple et large de supports. Souple et possibilité de faire des arbitrages réguliers pour mon versement, c'est pratique pour éviter d'acheter au plus haut.";"Contrat simple et pratique avec acces a son compte par internet";"rien de special"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"Bonjour,
Moi j'ai ouvert un compte depuis un an, afer prend un pourcentage sur chaque versement, et bien au bout d'une année malgré les intérêts de cette année, je me retrouve avec moins argent que mon versement initial pouvez-vous me dire si c'est normal...";"Aucun";" J'ai perdu de l'argent, donc je suis pas motivé pour faire des versement...."
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Encore une super belle rémunération pour mon contrat AFER ! depuis 7 ans je n'ai qu'à me réjouir d'avoir été parrainé par mes parents ..Trés loin devant ses concurrents une fois encore avec 2,65% nets ! 
Mon livret A ..il y a longtemps qu'il est fermé ..";"super taux pour le fond sécuritaire en euro et bons supports en action";"pas grand chose pour le moment"
"Bonne";"Très bonne";"Bonne";"Très bonne";"15 ans pour moi et 20 ans pour mon mari chez afer. Rien a redire - rendement toujours dans le top 3 . Accompagnement personnel et deplacements des conseillers jusqu' a votre domicile. Nous avon eu retriat a faire il y a 5 ans il est vrai qu'il fuat compter 15 à 20 jours pour disposer réllement des fonds, mais c'est c'est ainsi sur toutes les assurances vie, puisque les retraits sont soumises aux périodes et temps de rachat.";"Rendement et disponobilite des conseillers.";"Aucun pour le moment - n'étant pas encore décedée,,pas de connaissance pour la transmission aux bénéficiares qui semblerait pouvoir pécher selon les avis d'internautes que j'ai pu lire. Donc a voir."
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"Presque 4 mois après le décès de ma mère et plusieurs documents demandés au coup par coup , je n'ai pas reçu le capital , en tant que bénéficiaire . Impossible d'en connaître le montant ! Cette association est en décrépitude au niveau du service clients et en particulier le service succession et le relationnel avec les adhérents est lamentable ! Malgré les réclamations véhémentes , il m'a été répondu qu'il ne fallait pas tenir compte de ce qui se dit sur Internet , ""c'est n'importe quoi"" !";"Son taux annuel en fonds garanti";"Cette association, certainement victime de son succès, n'a , en fait , plus guère de considération pour ses adhérents , malgré la façade qu'elle affiche. La réalité est toute autre !
Lamentable et scandaleux . L'arbre cacherait-il une forêt ?"
"Assez bonne";"Assez mauvais";"Assez bonne";"Assez mauvais";"La façon dont le fond IMMO a été ouvert et fermé quelques heures après, est indigne d'une Association de Protection des Epargnants ! Donc je trouve mon investissement dans le fond Euro que je ne voulais pas. Seuls les ""initiés"" connaissaient la combine !";"Aviva";"Lent, lent, pas organisé (critères d'attribution des parts de fond IMMO ?), et pas écolo (hystérie de prospectus en couleur sur papier glacé)"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Il est vrai que la rémunération est bonne. Mais.. mais le rachat est quelque chose d'épouvantable. Le doosier a été traité avec plus d'un mois de retard avec perte de valeur sur les unités de compte. Il est très difficile d'avoir le décompte définitif qui m'a permis de m'apercevoir de cette situation. Après rejet de ma demande de compensation, celle-ci a été enfin acceptée. Toujours sans décompte récapitulatif.Cela montre et des problèmes administratifs et des problèmes de transparence.";"Il est vrai que la rémunération est bonne";"manque de transparence et mauvaise fois"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Attention à Afer! il sera de plus en plus difficile aux héritiers de récupérer le capital! Tout est fait pour retarder le remboursement du capital même avec un dossier complet . Un mois, ils vous disent que vous n'avez pas vraiment demandé le remboursement du capital .... le mois suivant, ce sera votre signature qui n'est plus vraiment la même ! etc etc et les mois passent et vous n'avez toujours pas le capital du! Inutile d'essayer de les avoir au téléphone.... personne ne répondra ! à se demander s'ils ne sont tout simplement pas en faillite !   Inquiétant... très inquiétant! En tous cas..... 7 mois après ... on a toujours pas un centime de notre capital !";"aucun";"Vous investissez  naïvement pensant laisser un capital à vos enfants... mais cela risque d'être un leurre! En fait, vous n'avez aucune garantie que le capital sera bien transmis à vos héritiers! Et si l'Afer fait faillite ?"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"assez sécure mais on reste coincé dans un système lourd et sans conseil fiable";"2 niveaux de garantie + l'histoire de la construction de l'AFER qui laisse encore un peu de place à la base (cf SOS PRINCIPES AFER)";"on est coincé avec l'agent qui vous a ""vendu"" le contrat 
 la qualité du conseil n'est ni bonne ni fiable"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"J'ai hésité entre 3 contrats multisupports l'année dernière et j'ai vite compris que mon choix avait été le bon quand les taux de rémunération ont été donné. Avec 3.05% l'AFER a été largement supérieure sur le fond sécuritaire, leurs sicav sont trés bien aussi. Donc rien a dire";"belle rémunération, taux faible, la plus grosse association d'epargnants de France ....";"ok"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"C'est toujours avec plaisir et surprise que je découvre comme chaque année le taux de rémunération de mon contrat Afer. Après 6 ans, il reste toujours très attractif par rapport à la concurrence. Avant j'avais un contrat d'assurance vie souscrit auprès de ma banque, qui ne m'a nullement satisfait (pas joignable, manque d'informations, taux peu élevé). Je pense continuer avec l'Afer encore un bon moment.";"De vrais conseils auprès de mon conseiller local (pour info j'habite en Bretagne) !!!";"La concurrence des contrats en ligne mais pour le moment l'Afer tient encore sa place et pour longtemps je pense."
"Assez mauvais";"Assez mauvais";"Assez bonne";"Mauvais";"j'ai ouvert mon contrat en 1993 dans un bureau près de mon domicile . C'était pour moi un élément important pour traiter avec un conseiller. Sans me demander mon avis quelques années plus tard mon contrat a été transféré chez un autre courtier. Récemment j'ai demandé son transfert dans l'agence d'origine . Réponse à  ma demande ""ce changement ne peut intervenir qu'avec l'accord des deux intermédiaires"" . Je n'ai pas réussi à l'obtenir. 
Auparavant j'avais demandé de l'aide pour la rédaction de la clause bénéficiaire par téléphone, mon interlocuteur a été si peu aimable que j'ai consulté un notaire ( le conseil a été gratuit)";"j'ai eu besoin d'avance dans le passé, pas de difficulté sur ce sujet";"frais d'entrée"
"Bonne";"Très bonne";"Très bonne";"Très bonne";"Adhérente depuis plus de 3 ans, suite aux recommandations d'un ami, je n'ai jamais eu à me plaindre de l'Afer (bon taux, bon produit). Je trouve la gestion plutôt facile avec des outils actuels et complets. Je suis également satisfaite des services et conseils apportés. A suivre ... 

Aujourd'hui c'est à mon tour de vous conseiller l'Afer !";"Dans le top des meilleurs contrats d'assurance vie. Un contrat reconnu depuis de nombreuses années.";"Rien contre pour le moment"
"Mauvais";"Mauvais";"Assez bonne";"Mauvais";"J'ai appelé le service client. J'ai été super mal reçu, alors que je demandais des informations générales. Une honte pour des gens qui vendent des assurances vie.";"Aucun maintenant par rapport au marchés.";"Frais d'entrée, alors que maintenant, les frais d'entrée sont 0 pour beaucoup de très bonnes assurances vie.
Rendement moyen par rapport à d'autres.
Accueil téléphonique désagréable. Ils se croient encore les meilleurs alors que ce n'est plus le cas depuis longtemps."
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Je suis chez AFER depuis 2 ans. Bon produit et bons rendements par rapport à la concurrence. La réputation de l'AFER et de son assurance vie n'est plus a prouver, c'est pour cela que je l'ai choisi car ayant été un peu perdu devant un vaste choix hétéroclite, j'ai choisi la sécurité. j'en suis ravi.
Bon site internet qui me donne toutes les info suffisantes car j'ai peu de relation avec mon conseiller.";"Bon produit et simple de fonctionnement
Bon site internet";"rien de spécial"
"Bonne";"Bonne";"Bonne";"Bonne";"assurance vie avec rendements corrects si l'on compare avec des produits qui ne sont pas en ligne directe  -relations avec clients satisfaisants jusquà ce jour -bonne communication de l'évolution des placements-site internet clair et précis-";"a ma connaissance ne propose que de l 'assurance vie donc action centrée sur ce type de placements
les informations aux sociétaires parviennent par courrier";"relation avec le client uniquement par téléphone puisqu'il n'y  plus d'agence"
"Assez mauvais";"Mauvais";"Assez bonne";"Mauvais";"Heureusement que le taux de rémunération reste attractif, car la gestion administrative est tout simplement lamentable.";"Le taux de rémunération";"La gestion administrative, digne de la sécurité sociale. Un mois et demi pour débloquer une avance, après une bonne dizaine de mails, et cela à plusieurs reprises. Un mois 1/2 pour recevoir mes codes d’accès, des avances débitées 2 fois. Mon  RIB refusé car adresse différente de celle de ma CNI. Toute démarche administrative avec AFER est une vraie prise de tête."
"Assez bonne";"Très bonne";"Très bonne";"Très bonne";"Client depuis des années a l'AFER, je suis pleinement satisfait de leurs services. Bien sûr, n'étant pas mort, je ne saurais dire s'ils sont efficaces dans le dénouement, mais lorsque j'ai eu besoin d'une avance, tout s'est très bien déroulé.
En outre, leur rendement, même en fonds en Euros est très compétitif.";"efficaces et bons taux";"aucun"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Afer décidemment a encore fait des miracles cette année avec 3.05% !  merci encore pour la qualité de leur gestion;
Adherent depuis 16 ans j'ai toujours pleinement confiance en l'association.
Pour une fois que les épargnants sont défendus devant les pouvoirs publics, il faut le dire.  Leur combat victorieux aupres du ministre des finances sur la doctrine proriol qui laisée les heritiers d'assurance vie est une belle preuve de leur efficacité. !";"Une vraie association de défense des épargnants couplée à  un tres bon, sinon le meilleur, produit d'assurance vie";"pas grand chose"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Adhérents depuis 10 ans, je me réjouis toujours des performances de la société AFER,  encore cette année on nous sert 3.05% alors qu'ailleurs la moyenne n'est que de 2,25% ! alors rien à redire, que du bien ainsi que leur relation client.";"adhérent gràce à mon pére qui m'avait fait ouvrir un contrat avant son décès, maintenant j'ai un bon contrat dont je me réjouis chaque année.";"ras"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Je viens d'arriver chez eux, Avant j'etais à ma banque (BNP) et là aucune info, mon conseiller ne savait rien, aucun conseil sur ma clause bénéficiaire.";"Semble simple et informatif. Site et doc bien faits. On peut surveiller son épargne sur leur accès sécurisé. mon conseiller etant près de chez moi, c'est facile et pratique.
Des fiches pratiques à dispo sur leur site.";"RAS"
"Bonne";"Très bonne";"Très bonne";"Très bonne";"Contente d un produit assez simple et performant dans cette jungle de contrat. J ai confiance a la presse spécialisée et a un ami et suis contente depuos 6 ans. J ai pris un autre contrat a ma banque pour leur faire plaisir et je le regrette. Afer a un contrat simple er j ai pu faire une avance de fonds via internet pour aider ma fille. C est facile et rapide. Donc pas de griefs. Quand un produit est bon faut savoir aussi le dire ! Voila c est dit";"Femme avec 2 enfants j avais besoin de qqchhose de simple car c est pas mon monde. Ici c est simple et efficace. Merci Afer";"Rien a dire pour le moment. Suis contente. Si jamais je rencontrerai des pb je vous le dirai ici"
"Bonne";"Bonne";"Très bonne";"Très bonne";"Bon produit, voir l'un des meilleurs selon les spécialistes, je ne regrette pas mon choix depuis 6 ans et vais surement en faire profiter mon fils.";"Simple et efficace pour des non spécialiste comme moi de la finance. De bon rendements, sûrs et performants même en sicav";"Rien de spécial, j'en suis satisfait, meme quand j'ai du momentanement retirer un peu de mon argent suite à un pb familial. Argent que j'ai pu remettre à mon rythme. Super pratique, l'argent n'est pas bloqué"
"Assez bonne";"Bonne";"Bonne";"Très bonne";"Contrat que j'ai ouvert en 1989, bénéficiant donc d'une fiscalité très avantageuse en matière de droit de succession. Je continue donc d'abonder après 70 ans.";"La gestion en ligne pour les versements, arbitrages, rachats. J'ai horreur de passer par les agents Aviva. Avant internet, j'ai toujours traité en direct avec le GIE Afer.
Frais d'entrée correct.";"Pas assez d'UC."
"Assez bonne";"Mauvais";"Assez bonne";"Assez bonne";"Je me plains de la gestion des connexions internet à l'espace particuliers, leur scénario n'est vraiment pas commode et tout est fait pour vous dégouter de l'utiliser.Une erreur s'est produite pendant le chargement. [200 - Error: Invalid XMLUne erreur s'est produite pendant le chargement. [200 - Error: Invalid XML:";"no comment";"voir commentaire"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"j'ai envoyé 2 versements qu'ils m'ont débité mais qui n'apparaissent plus . je me bats depuis 3 mois , j'appelle régulièrement la réponse est toujours la même * c'est en cours*
je commence à en avoir assez .
client depuis 20 ans, je cherche ailleurs ce n'est pas sérieux . personne m'a contacté pour me dire ce qu'il en était et s'excuser, scandaleux .";"maintenant rien";"pas sérieux, impossible d'avoir le service contentieux
frais d'entrée
frais d'arbitrage (après le premier)
rendement moyen"
"Assez bonne";"Assez mauvais";"Assez bonne";"Mauvais";"Je suis très déçu par les informations données sur le produit Afer Immo. Le site donne la composition des actifs immobiliers au 30 novembre 2014 alors qu'une nouvelle tranche d'investissement a été réalisée. On ne sait pas qu'elle est la répartition des actifs. Le cours n'évolue plus depuis près de six mois alors que la SCI a encaissé des loyers. Les actifs immobiliers ont-ils perdu eu valeur équivalente aux loyers encaissés au cours de cette période? Les nouvelles souscriptions devaient être logées dans une nouvelle SCI. Cet engagement n'a pas été redpecté. Conclusion : manque de transparence, non respect des engagements tenus  la SCI ne fait pas de miracles. Très déçu";"Rien";"À ne pas conseiller. Je suis client d'AFER depuis plus de trente ans. Son évolution n'est pas bonne"
